bldg_id,name,x_coord,y_coord,category
0,Zark's Burgers,66.36265969668045,52.866469464837174,commercial
1,Watsons,66.32219777971657,52.796859184134036,commercial
2,Serendipitea,67.51900237345832,55.44073953962234,commercial
3,Unnamed,61.918669996634804,46.03106747775087,miscellaneous
4,China Bank Savings,64.27987864525309,69.03767472180445,commercial
5,University Library,59.32910731090203,48.74848904743721,school
6,Unnamed,64.21461248800087,57.14004933321668,miscellaneous
7,Los Baños Evangelical Baptist Church,64.28204901628135,59.690406229219576,special
8,Unnamed,78.1793997683986,58.807420292135426,miscellaneous
9,Unnamed,72.75238702056424,62.17344588906359,miscellaneous
10,Sider's Store,71.73153750633969,48.35277507526048,commercial
11,Internet @ Demarses,68.26111423748478,53.08709310743712,commercial
12,Chino's,67.03190910485577,54.17072044183677,commercial
13,Batong Malake Fire Brigade,63.79077003213688,58.606123739235,special
14,Church Among the Palms,61.43374709906051,52.148746523582346,special
15,Unnamed,66.36545017370106,69.11711233625213,special
16,Dalampasigan Restaurant,36.827785709969646,76.49350904606004,commercial
17,Iglesia ni Cristo Bambang Los Baños,30.944374940891496,71.37789046453685,special
18,Gado Store,31.81484874839414,69.68251160444323,commercial
19,CFNR Library,53.7614855259509,29.095623233128208,school
20,Insight Computers,66.72712700236262,53.675750398825585,commercial
21,Dandansoy Store,64.90417036791543,61.2690036066304,commercial
22,Bookbound Trading,67.07423133984072,53.761739569104904,commercial
23,Sizzlers,66.53303382213444,55.34033694651575,commercial
24,Unnamed,66.51210524438082,55.67184567155174,commercial
25,Bianca's Laundry,66.99020697588519,55.59928719072524,commercial
26,Zeny May,66.83037465254328,55.79337703221202,commercial
27,Jerico's Bakery,67.47606003245899,54.84028944773751,commercial
28,Mer-Nel's,66.82572385750161,56.05265485421107,commercial
29,InfoBucks,67.7444109070376,54.46881623213551,commercial
30,Generika Drugstore,65.77340396341135,60.16588539363353,commercial
31,Alexis Shoe Salon,65.61062613653426,60.1891434168338,commercial
32,Unnamed,65.5492356418388,60.32508820032135,transport
33,Big Nico's,65.17190113650169,60.15474774872207,commercial
