source_node_id,target_node_id,road_length,road_type,name,one-way,max_speed,access,lanes
253502318,253767765,106.41766007042455,tertiary,Hilario T. Apolinario,False,33.15,Uncategorized,
253502318,1136875346,127.78871289325251,residential,Unnamed,False,31.86,Uncategorized,
253502688,253801775,179.4462029978938,residential,Molave Street,False,31.86,Uncategorized,
253502688,253794765,64.19721958223857,residential,Kamagong Street,False,30.0,Uncategorized,
253502688,253765821,58.50623204892273,residential,Kamagong Street,False,30.0,Uncategorized,
253502699,11750543437,27.65745242867405,unclassified,Unnamed,True,30.0,destination,
253502699,1127245998,73.64210070687078,unclassified,Unnamed,False,30.0,destination,
253503176,253797515,78.03054509950974,residential,Unnamed,False,31.86,private,
253503176,253790092,49.042030028647886,residential,Unnamed,False,31.86,private,
253503176,1127246043,119.74188491247443,residential,Unnamed,False,31.86,private,
253503176,8295657717,86.68045009032514,residential,Unnamed,False,31.86,private,
253503451,10910516550,2.856370691893787,tertiary,J. Aquino Street,False,33.15,Uncategorized,
253503451,7874368795,2.9755148754722858,tertiary,J. Aquino Street,False,33.15,Uncategorized,
253503451,12309592334,4.778487543489878,footway,Unnamed,False,30.0,Uncategorized,
253503613,8386122132,25.984781492219703,unclassified,V. Menguito,False,33.07,Uncategorized,
253503613,1252148447,42.566483747341564,unclassified,V. Menguito,False,33.07,Uncategorized,
253503613,3568091602,83.37429232055955,residential,Unnamed,False,31.86,Uncategorized,
253503657,2169969882,4.96048215794866,service,Unnamed,False,20.0,Uncategorized,
253503657,471322033,11.413396185773422,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253503657,4737366923,13.620809193392079,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253507654,1532188467,122.46085978236415,service,Road 26 North,False,25.85,private,2
253507654,8893795662,30.65193261257211,service,Unnamed,False,25.85,private,
253507654,8893795666,127.61389507126943,service,Unnamed,False,25.85,private,
253507774,253802027,186.1835186959659,service,Unnamed,False,25.85,private,
253507774,7729311819,35.485686207392185,service,Unnamed,False,25.85,private,
253507774,7729311818,30.18676312939089,service,Unnamed,False,25.85,private,
253507795,760872630,13.767394219192306,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253507795,439223689,27.432358567247928,secondary,Lopez Avenue,False,30.0,Uncategorized,2
253508082,290585027,305.0257357557976,track,Unnamed,False,30.0,private,
253508082,1143684081,115.5278249714947,service,Unnamed,False,25.85,private,
253508082,1143684048,117.53335895037446,service,Unnamed,False,25.85,private,
253508843,8887165453,33.69311976565897,residential,Lajarca,False,31.86,Uncategorized,
253508843,7874284526,133.91541715234098,residential,Unnamed,False,31.86,Uncategorized,
253508843,3568091600,82.05359244216562,residential,Unnamed,False,31.86,Uncategorized,
253508843,253784430,76.17439115374955,residential,Lajarca,False,31.86,Uncategorized,
