node_id,x_coord,y_coord
28997162,10.808912783641107,57.42242138951832
28997167,39.42029389923762,74.49741377333679
28997168,91.46331065295075,66.37479485440906
28997169,99.32330931971836,65.65183066848951
28997173,26.16196238748076,62.90934939774875
28997179,34.000102317495234,68.47473228704949
28997182,37.25023292731231,73.080476036047
28997193,95.26549063561541,65.87654903348205
28997703,82.89220542252261,67.01045955888239
28997724,37.82770664646262,74.03782213181178
253491996,58.1453249433078,84.48870020408077
253492328,38.80173815713109,41.25318159929994
253492342,38.27387291857949,36.38701350603416
253492621,64.84262484672738,62.569978805717106
253492870,66.41614383979186,66.90579845448843
253493171,66.59256399880883,57.00672517206004
253493602,65.30940964356866,65.83199845383332
253495824,57.23407916583408,86.70509154161444
253495863,53.79249082631684,92.28013797576496
253496119,64.00114099505498,71.12712966511833
253496358,69.22723939656919,60.54128954273336
253500404,78.60944328431813,88.03325569739631
253501388,39.14899752112381,41.88229474794454
253501539,12.896344630110146,47.73529093821456
253502318,52.30067079966504,89.58466411811197
253502688,82.76337839952464,24.53557658605156
253502699,34.67632791825509,61.866177920602325
253503176,14.338711202677842,50.11022992685113
253503451,63.583499599246565,72.61105706077454
253503613,66.73084763840477,89.3193261069656
253503657,66.94695458187866,53.28544146021127
253507654,89.24224596194946,60.678872215180256
253507774,91.77181339148605,45.037524036020216
253507795,66.37878245285577,57.43388661222223
253508082,91.4550942483595,40.52776057994425
253508843,64.55613587141575,79.5763436422069
253508880,67.21840598650708,80.89615456430592
253509033,96.262156015566,63.974632375823305
253509084,14.8258044712804,46.544545665981914
253509234,70.69968111048127,57.44256742370045
253509347,67.54721719678163,54.31944075919514
253509969,92.89172484034937,47.97475030382975
253510495,70.51519957336563,31.77455441231024
253510760,98.03193855988694,63.78742166796062
253510794,64.24034688728872,70.04399369740301
253511252,58.64389017302196,49.52042611319054
253511262,65.69310023547594,51.403507047836975
253763395,58.480802293159705,46.51604639811982
253763439,15.958738146291237,54.5359696793996
253764332,64.94556244390085,70.2426696279696
253764883,37.75530927011125,71.4751810686253
253765458,89.37432854146782,53.484772546359864
253765821,82.40697247194115,23.75495870882001
253767765,52.730714315606605,90.98751601036403
253768787,65.9281204121898,60.46955000638653
253769551,74.54821401718024,84.3088599965265
253770770,69.72115383124166,33.165777292963625
253771091,81.87879718038235,26.546740437186994
253771507,67.19158640170508,55.7881357875473
253772405,13.795963419957651,53.05318880601263
253778898,68.80045143717,26.156431498569766
253779176,67.28274198473775,53.858702595398
253779567,59.31251947520494,80.98361783464401
253781169,90.26991664224396,48.156883555922484
253781337,38.52315553344759,40.95672369796057
253781351,91.65120277310133,58.15144576458228
253782036,67.88905063320371,81.20096569932814
253782194,90.53020613874591,52.267821050803576
253782808,68.44497566858603,62.205712301528735
253782873,63.85650126888888,71.95753936666044
253782965,16.297781105692717,56.90910699018203
253783708,59.60489945756493,46.498357197376734
253784430,65.56442823901459,80.00710843807735
253784840,25.066390099383995,28.369547058187607
253787306,70.241577797731,32.266740044092835
253788571,23.80850506395395,45.46517684287254
253789150,93.94373468143243,55.67577660504956
253789717,37.47982717645553,72.32753848220077
253790092,13.688220001205856,49.83129743736009
253790207,82.47239365568593,28.170543549831468
253790732,78.35256437087317,58.673113397604325
253790735,81.39945523687129,26.961126343478366
253790905,72.16452652581647,62.90132374185543
253792494,24.17359247562845,44.2898277268387
253794266,64.94277196685823,60.32164863351076
253794765,83.1264504667075,25.404968044788117
253795223,65.92114421960525,60.38077642488153
253797111,69.6817770997919,59.60900314802298
253797515,15.40405332291562,50.470893075334146
253797855,67.24491551830188,64.8613854575105
253798376,63.32925613632961,98.10479868706766
253798383,59.955879457599806,85.13615770905047
253799221,93.32083819729141,49.17859868772276
253799545,95.15867737588518,54.40428340720233
253800336,53.56863255772944,94.45345283371157
253800534,15.878744471362987,53.94239872113595
253800876,57.790004201216405,85.51729446950515
253801008,80.11568077561675,70.42480288006524
253801343,61.210043856987696,77.81544922380564
253801775,80.88538735697416,26.3480645066204
253802027,89.61818522876526,43.40847967871102
253804057,66.72356139281305,18.00678741184162
253804131,94.54213697831433,47.1466336468261
253804148,65.89928548285211,61.40953447920068
253804871,70.32839263872917,82.4228308617596
253805017,66.71425980270766,52.881210465456896
253806107,36.13311195549163,39.50555408145674
290582856,78.3300855281277,27.204352853693685
290582888,80.25582473323377,25.634108709965712
290583039,80.99933183578153,27.438734763538914
290585027,94.98427256138187,43.19539032531715
291562902,89.54687303795005,66.56921227368538
291562916,89.15822159797189,68.43394885200381
291689961,64.29832679897126,69.78553481988074
292203273,59.608465067092474,70.7002958027457
312517699,16.65108650324843,61.377268066735546
312517702,65.46350598635475,69.54607545426846
312517703,68.51613283290867,68.88944577113332
